code,id_g2a,name,name_g2a,locality,station
,1733,"Hôtel La Grange d'Arly","HOTEL LA GRANGE D'ARLY",Megève,"MEGEVE - DEMI QUARTIER"
,5962,"Hôtel Du Midi","HOTEL DU MIDI",Thônes,
,6161,"Hotel Christiania","HOTEL CHRISTIANIA","La Clusaz",
,,"Le Carmélite","LE CARMELITE",Poitiers,
,,"Le Calgary","LE CALGARY","Les Saisies",
,3364,"Hôtel le Christiania","HOTEL LE CHRISTIANIA",Arêches,
,4140,"Hotel Million","HOTEL MILLION",Albertville,"ALBERTVILLE - UGINE"
,,"Chalet Hôtel du Mont-Charvin  and  Spa","CHALET HOTEL DU MONT-CHARVIN  AND  SPA",Crest-Voland,
,,"Le Caprice Des Neiges","LE CAPRICE DES NEIGES",Crest-Voland,
,,"La Mollinière","LA MOLLINIERE",Notre-Dame-de-Bellecombe,
,,"Les Chalets de La Griyotire","LES CHALETS DE LA GRIYOTIRE",Praz-sur-Arly,
,,"ULVF La Citadelle de Conflans","ULVF LA CITADELLE DE CONFLANS",Albertville,
,,Alp-Hôtel,ALP-HOTEL,Megève,
,,"Hotel Sylvana","HOTEL SYLVANA",Megève,
,6160,"Hotel Floralp","HOTEL FLORALP","La Clusaz","LES ARAVIS"
,4143,"Auberge de Costaroche","AUBERGE DE COSTAROCHE",Albertville,"ALBERTVILLE - UGINE"
,,"L'Alpaga- a Beaumier hotel","L'ALPAGA- A BEAUMIER HOTEL",Megève,
,1769,"Hôtel Arbois Bettex","HOTEL ARBOIS BETTEX",Saint-Gervais-les-Bains,"SAINT GERVAIS MONT BLANC"
,,"Au Coin Du Feu","AU COIN DU FEU",Megève,
,,"ibis Styles Albertville","IBIS STYLES ALBERTVILLE",Albertville,
,,"Au Vieux Moulin","AU VIEUX MOULIN",Megève,
,,"Novotel Megève Mont-Blanc","NOVOTEL MEGEVE MONT-BLANC",Megève,
,,"Hôtel Chalet Saint-Georges","HOTEL CHALET SAINT-GEORGES",Megève,
,,"Hotel Mont Blanc Megève","HOTEL MONT BLANC MEGEVE",Megève,
,,"Fer à Cheval","FER A CHEVAL",Megève,
,,"M de Megève","M DE MEGEVE",Megève,
,,"Les Fermes de Marie","LES FERMES DE MARIE",Megève,
,,"Le Chalet Blanc","LE CHALET BLANC",Megève,
,,"Les Loges Blanches","LES LOGES BLANCHES",Megève,
,,"Le Roma","LE ROMA",Albertville,
,,"Zannier Hotels Le Chalet","ZANNIER HOTELS LE CHALET",Megève,
,,"ibis budget Albertville","IBIS BUDGET ALBERTVILLE",Gilly-sur-Isère,
,,"La Vieille Ferme","LA VIEILLE FERME",Manigod,
,,"Magic Megève Bois","MAGIC MEGEVE BOIS",Demi-Quartier,
,2045,"Hotel Les Aravis","HOTEL LES ARAVIS",Saint-Jean-de-Sixt,COMBLOUX
,,"Chalet-Hôtel du Borderan","CHALET-HOTEL DU BORDERAN","La Clusaz",
,,"Hotel Les Granits","HOTEL LES GRANITS",Combloux,
,,"Hôtel de Genève - Faverges-Seythenex 74210- Haute Savoie","HOTEL DE GENEVE - FAVERGES-SEYTHENEX 74210- HAUTE SAVOIE",Faverges,
,6196,"Hotel les Sapins","HOTEL LES SAPINS","La Clusaz","LES ARAVIS"
,,"Le Hameau de mon Père","LE HAMEAU DE MON PERE",Manigod,
,,"St-Alban Hotel  and  Spa","ST-ALBAN HOTEL  AND  SPA","La Clusaz",
,,"Chalet Les Rhodos","CHALET LES RHODOS",Cordon,
,,Alp'Hotel,ALP'HOTEL,"La Clusaz",
,,Beaulieu,BEAULIEU,"La Clusaz",
,,"Le Cordonant","LE CORDONANT",Cordon,
