"id";"type_hebergement_id";"lieu_id";"nom_etablissement";"etoiles";"adresse";"tel1";"tel2";"fax";"mail";"latitude";"longitude";"localisation_validee";"google_map_id"
"1";"3";"512";"RESIDENCE LE MANUJO";"1";"LANSLEVILLARD";NULL;NULL;NULL;NULL;"45.2914679";"6.9142507";"0";
"2";"3";"387";"RESIDENCE LES ETERLOUS";"3";"73480 Bonneval-sur-Arc, France";NULL;NULL;NULL;NULL;"45.3742307";"7.0548669";"1";"ChIJf9X7AvuniUcRGqLwollc--s"
"3";"5";"512";"CENTRE EDELWEISS";NULL;"2 Rue du Mont-Cenis, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2849381";"6.8733832";"1";"ChIJvw6niXyiiUcRAeQtmcqhc8I"
"4";"5";"512";"CLUB MMV LE VAL CENIS";NULL;"Quartier des Sablons, Chem. des Crueux, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2848545";"6.8865799";"1";"ChIJ13VVqnyiiUcRozGklPRdLns"
"6";"5";"512";"ARBA NEIGE";NULL;"322 Rue des Essarts, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2881336";"6.9128964";"1";"ChIJrwa-frKjiUcRdl4CGuhod5E"
"8";"2";"16";"PARKING DU COL";NULL;"73620 Hauteluce, France";"04 79 38 90 30";"06 08 60 52 38";NULL;NULL;"45.7628403";"6.5338119";"1";"ChIJrQah1NLmi0cRwVvOolQZ4og"
"9";"2";"16";"PARKING DE LA FORET";NULL;"1830 Rte du Mont Bisanne, 73270 Villard-sur-Doron, France";NULL;NULL;NULL;NULL;"45.7479245";"6.5346207";"1";"ChIJSwm7YNLgi0cRvzukCkQ7Sok"
"11";"1";"512";"HOTEL LE RELAIS DU COL";"1";"66 D1006, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2598842";"6.9010987";"1";"ChIJ02-20d-iiUcRSRoQGnlE9Ms"
"12";"1";"512";"HOTEL L'ETOILE DES NEIGES";"1";"LANSLEVILLARD";NULL;NULL;NULL;NULL;"45.290441";"6.913215";"0";
"13";"1";"387";"HOTEL LE GLACIER DES EVETTES";"2";"Vieux Village, 73480 Bonneval-sur-Arc, France";NULL;NULL;NULL;NULL;"45.3725316";"7.048965";"1";"ChIJgTA3hO6niUcR7b8Qg5ltCeY"
"14";"1";"512";"HOTEL L'ALPAZUR";"3";"106 Rue du Mont-Cenis, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2852832";"6.88117";"1";"ChIJl9P6B2SiiUcRPVPc6Dj9oZ4"
"15";"1";"512";"HOTEL LA TURRA";"3";"20 Rue de la Parrachée, 73500 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2767674";"6.8174705";"1";"ChIJCfjhG62ZiUcRUC9upv-2EvA"
"16";"1";"512";"HOTEL L'AUBERGE DO-RE";"2";"LANSLEBOURG";NULL;NULL;NULL;NULL;NULL;NULL;"0";NULL
"17";"1";"512";"HOTEL MALAMOT";"1";"Grand Croix, 73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2186701";"6.9553838";"1";"ChIJk9iD-0G7iUcRSqEFWvQZSbY"
"18";"1";"512";"HOTEL L'OUTA";"3";"2 Rue de la Savoie, 73500 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2750079";"6.8159258";"1";"ChIJiTPdobKZiUcRA2wNBJTAfQE"
"19";"1";"512";"HOTEL RONCHES";"1";"73480 Val-Cenis, France";NULL;NULL;NULL;NULL;"45.2405556";"6.9508333";"1";"ChIJ_____7K8iUcRnkkl8A6L44E"
