id,lieu_id,nom_etablissement,adresse
1,512,RESIDENCE LE MANUJO,LANSLEVILLARD
2,387,RESIDENCE LES ETERLOUS,"73480 Bonneval-sur-Arc, France"
3,512,CENTRE EDELWEISS,"2 Rue du Mont-Cenis, 73480 Val-Cenis, France"
4,512,CLUB MMV LE VAL CENIS,"Quartier des Sablons, Chem. des Crueux, 73480 Val-Cenis, France"
6,512,ARBA NEIGE,"322 Rue des Essarts, 73480 Val-Cenis, France"
8,16,PARKING DU COL,"73620 Hauteluce, France"
9,16,PARKING DE LA FORET,"1830 Rte du Mont Bisanne, 73270 Villard-sur-Doron, France"
11,512,HOTEL LE RELAIS DU COL,"66 D1006, 73480 Val-Cenis, France"
12,512,HOTEL L'ETOILE DES NEIGES,LANSLEVILLARD
13,387,HOTEL LE GLACIER DES EVETTES,"Vieux Village, 73480 Bonneval-sur-Arc, France"
14,512,HOTEL L'ALPAZUR,"106 Rue du Mont-Cenis, 73480 Val-Cenis, France"
15,512,HOTEL LA TURRA,"20 Rue de la Parrachée, 73500 Val-Cenis, France"
16,512,HOTEL L'AUBERGE DO-RE,LANSLEBOURG
17,512,HOTEL MALAMOT,"Grand Croix, 73480 Val-Cenis, France"
18,512,HOTEL L'OUTA,"2 Rue de la Savoie, 73500 Val-Cenis, France"
19,512,HOTEL RONCHES,"73480 Val-Cenis, France"
20,387,HOTEL  A LA PASTOURELLE,BONNEVAL-SUR-ARC
22,512,HOTEL LES ROCHES BLANCHES,"73480 Val-Cenis, France"
24,512,HOTEL LA VIEILLE POSTE,"87 Rue du Mont-Cenis, 73480 Val-Cenis, France"
25,512,HOTEL LE RELAIS DES 2 COLS,"Station DE, 66 Rue du Mont-Cenis, 73480 Val-Cenis, France"
26,512,HOTEL LA CLE DES CHAMPS,"hameau des champs, 73480 Val-Cenis, France"
27,512,HOTEL GRAN SCALA,"Col du mont Cenis, 73480 Val-Cenis, France"
28,512,HOTEL LES GLACIERS,BRAMANS
29,46,CLUB BELAMBRA HOTEL DU GOLF,"Arc 1800 Village Charvet, 73700 Bourg-Saint-Maurice, France"
30,45,HOTEL CLUB BELAMBRA LA CACHETTE,"Galerie Marchande, Les Arcs 1600, 73700 Bourg-Saint-Maurice, France"
33,43,HOTEL LES GLIERES,"200 Rue des 16éme Jeux Olympiques d'Hiver, 73350 Champagny-en-Vanoise, France"
34,37,HOTEL LE COCOON,"Pra Conduit, 73210 La Plagne-Tarentaise, France"
35,45,HOTEL BEGUIN,
36,44,HOTEL LE SAVOYARD,
37,15,HOTEL L'HERMITAGE,"32 Rue Emile Machet, 73570 Brides-les-Bains, France"
38,15,HOTEL LES ALPES,"15 Rue du Dr Paul Mathieu, 73570 Brides-les-Bains, France"
39,15,HOTEL LE CENTRE,"Rue Aristide Briand BP 05, 73571 Brides-les-Bains, France"
40,15,HOTEL LE VERSEAU,"Rue du 8 Mai 1945, 73570 Brides-les-Bains, France"
41,15,HOTEL LES CHALETS,"17 Av. du Comte Greyfié de Bellecombe, 73571 Brides-les-Bains, France"
42,15,HOTEL ALTIS VAL VERT,"Quartier de l&#039;Olympe, 73571 Brides-les-Bains, France"
43,15,HOTEL INDEVHO GRAND HOTEL DES THERMES,"Parc Thermal, 73570 Brides-les-Bains, France"
45,15,HOTEL LES BAINS,"Rue Joseph Fontanet, 73570 Brides-les-Bains"
46,15,HOTEL GOLF HOTEL,"73571, 20 Av. du Comte Greyfié de Bellecombe, 73570 Brides-les-Bains, France"
47,15,HOTEL AMELIE,"Rue Emile Machet, 73570 Brides-les-Bains, France"
49,15,HOTEL LES SOURCES,
50,15,HOTEL LA VANOISE 1825,"Rue Emile Machet, 73570 Brides-les-Bains, France"
51,15,HOTEL SAVOY HOTEL,"Pl. de l'Église, 73570 Brides-les-Bains, France"
52,15,HOTEL LE BELVEDERE,
53,15,HOTEL ATHENA,"1 Rue du Pont Rouge, 73570 Brides-les-Bains, France"
54,43,HOTEL L'ANCOLIE,"Rue des Hauts du Crey, 73350 Champagny-en-Vanoise, France"
55,32,HOTEL ARAUCARIA,"D221, 73210 La Plagne-Tarentaise, France"
56,32,CLUB BELAMBRA TERRA NOVA,"Plagne centre, D223, 73210 La Plagne-Tarentaise, France"
57,487,HOTEL LA TOURMALINE,
58,487,HOTEL PALANBO,"63 Imp. Prés Roux, 73210 Aime-la-Plagne, France"
59,42,HOTEL BELLECOTE,"1 Rue de la Glisse, 73210 La Plagne-Tarentaise, France"
